market_trend_id,trend_name,trend_description,trend_start_date,trend_end_date,region,industry,impact_level,created_date,updated_date,status
125,rise,Hear year hear bar so religious ok. List over effect risk. Voice personal street fly out exactly nation stuff. Adult public possible town them.,2021-03-06,2021-04-06,break,capital,High,2023-11-19,2022-03-09,Inactive
566,ground,"Develop challenge class say until strategy himself. There everybody history pretty. Bar follow man situation account represent arrive.
Own picture season discuss. Weight seven keep.",2020-01-20,2024-04-21,look,story,Medium,2021-12-26,2022-06-24,Active
360,nation,"Want inside conference room natural green recently. Often official son. Money various throw.
Science the whole mean watch dog. Glass situation who deep.",2024-05-05,2022-08-11,though,establish,Medium,2021-07-18,2020-03-22,Active
967,present,"Open cold from remember take assume pull majority. Hard sometimes may bad the.
Democratic raise will million. Word option general policy. Board determine many mean bag.",2024-05-28,2021-05-11,down,often,High,2023-03-17,2024-06-25,Inactive
352,general,Computer bar finish tonight program sport Democrat. Building identify student major such challenge. Car billion baby others important figure foreign.,2023-03-16,2020-07-07,meet,who,Low,2021-09-19,2021-06-02,Inactive
854,arrive,"Successful increase create send machine. Lay page country herself.
Later four look likely treatment say would. Listen over recent tough body rather.
Serious long if leg. Brother at consider skin.",2024-05-11,2022-06-21,strong,building,Low,2023-01-02,2022-09-05,Inactive
1000,year,Campaign road force thousand expect card turn. Culture specific sign travel window could which response. Tough however event beautiful better article turn.,2022-05-01,2021-07-15,material,forget,Medium,2020-04-11,2020-03-16,Active
648,food,Develop experience west give service article just. Trade condition partner energy.,2023-08-20,2023-01-11,often,college,Low,2020-10-19,2024-06-02,Inactive
827,build,"Late game page voice tonight state high. Within might say decide million claim. Drop information tonight.
Memory kid be speech. Major born say military including language eye possible.",2023-03-31,2024-04-04,investment,sister,Low,2022-12-08,2021-09-21,Active
441,matter,Green own player human service help staff. Hot daughter soon single unit main. Over front station eye book prevent.,2020-05-17,2022-09-25,tend,east,Medium,2021-10-05,2021-07-17,Active
350,future,Tend letter task crime per. Actually white we center culture. Evidence necessary low assume population decade.,2021-12-17,2021-03-01,him,ready,High,2022-01-11,2022-08-04,Active
335,up,"East cultural six yet. Movement none whole cause chance couple understand.
Assume officer read role program action wind. Write fight child affect writer.",2022-06-29,2021-08-02,head,rest,High,2023-09-29,2024-06-02,Inactive
203,hair,"Whatever particularly she laugh. Cover bed deep some.
Many live hear image role ask water face. Work thought generation notice. Front traditional each discover major last.",2022-12-15,2020-03-09,man,general,Medium,2023-04-16,2023-04-10,Active
686,court,Bill determine themselves scientist. Concern order company race. Market young statement walk join film.,2021-09-17,2023-11-29,story,marriage,High,2023-02-10,2021-10-05,Active
153,member,"No trade action will expect hear kid. Adult grow off write.
Resource remain such believe. Seem cause west better raise simply wish a.",2023-03-08,2020-08-31,television,institution,Medium,2021-09-15,2021-11-27,Inactive
647,gun,Wear form teach professional early bit seek trip. Worker appear either audience. Option opportunity research long mother dark.,2022-10-10,2024-03-21,computer,live,High,2021-09-18,2023-04-12,Active
61,seven,"Prevent news lot. Tax wide a what.
Year to likely inside up. Cut way operation.",2020-12-06,2021-07-05,tonight,according,Low,2024-05-12,2021-07-03,Inactive
688,which,"Number thus less behavior doctor relationship miss. Not lose try even toward.
President expert not represent ahead. Ever important wind. Election sometimes sound plant from rich reason.",2020-09-21,2023-08-13,heavy,option,Low,2021-05-12,2020-03-30,Active
320,recognize,Partner onto car whatever toward record. Throw west best size increase low plant.,2020-11-25,2021-12-10,it,attorney,Low,2022-03-20,2020-11-05,Inactive
722,fear,Use team miss eat deep street use. Firm perhaps they interest. Store answer rate degree usually important attorney today. Either like six position economy PM.,2021-11-15,2020-07-26,value,doctor,Medium,2023-03-23,2021-07-15,Inactive
268,study,"Evidence peace within last officer fish. Reach reflect way season three. Early performance across.
Western oil job treatment. Number teach town across attention security. Few your today close.",2023-02-26,2021-01-28,wind,generation,Medium,2021-09-01,2023-11-29,Active
951,three,"Poor participant lay billion north eye. Since feeling necessary surface around.
Force can must trouble parent recognize very. Weight hand choose.",2020-12-07,2022-09-20,arm,clearly,High,2022-12-11,2022-09-26,Active
479,raise,"Again final cover manage second fire. Age performance either bill young home program middle.
Off pay big parent figure effort foreign. True sure when protect. Toward the around true.",2022-06-10,2023-12-24,individual,possible,Low,2020-01-07,2021-05-28,Inactive
225,chance,Kitchen fill miss cold place face. Bank machine over store share.,2021-06-15,2023-01-12,deep,public,High,2020-03-21,2023-04-09,Inactive
909,fund,"Authority loss know phone former. Glass single article speech deep toward kitchen. Term thus other region.
Truth those type ahead eat history whom human.",2022-06-02,2022-09-12,see,great,Medium,2023-01-21,2022-06-27,Inactive
133,lot,Coach less leader authority. Require once beautiful parent happy. Professional such section when generation.,2020-04-18,2021-07-21,generation,trouble,Low,2021-05-17,2021-04-14,Inactive
32,today,Training certainly likely air project walk night prove. American thus view able training manage. Expect dinner guy.,2021-11-22,2021-08-24,fish,source,High,2021-12-30,2020-11-05,Active
293,tax,Per most thing himself field each against. Page public suffer act. Job administration that water still model page.,2023-08-05,2023-02-01,improve,school,Medium,2020-06-27,2021-04-14,Active
503,according,"Main number position read. Figure involve avoid star better. System pass real clear weight.
Thousand network star value position. Each firm pull road bed image. Ready would if my land training.",2021-08-03,2024-06-30,tree,response,Medium,2024-02-01,2021-03-31,Active
957,natural,"Staff himself far attorney determine understand. Yourself meeting report always world.
Voice still dark strong effort. There hold everybody school.",2023-05-22,2023-01-12,produce,in,High,2020-01-22,2020-02-12,Inactive
38,about,"Fine air well health someone.
Even often face college while. Tend pretty to business school.
Rich activity city minute.",2023-04-09,2023-12-25,despite,thousand,Low,2021-04-30,2023-08-25,Inactive
300,various,"Official data nothing glass total nothing technology. Culture imagine toward body ready. Poor very always church room section.
Expect artist watch list sound. Sign play certain protect thus tonight.",2020-03-02,2021-07-26,wife,method,Medium,2020-02-24,2021-10-12,Inactive
18,include,"Skin author town financial me national. My choose threat discussion season piece.
Special service open end myself forward at.
Sell sense former strategy culture. Hot dog memory poor may response.",2021-01-01,2020-12-03,position,respond,High,2021-06-27,2020-04-24,Active
868,water,Try mouth nor concern. Coach fill store teach upon might. Play action imagine shoulder budget war. Particular few purpose assume interest thus east.,2022-07-17,2024-07-05,education,prevent,High,2021-04-12,2024-01-21,Active
493,current,"Interesting full court finish brother check process.
Challenge term start almost majority station. Town save quickly evidence investment.",2024-07-07,2024-04-25,trial,decide,High,2022-10-18,2020-10-05,Inactive
273,executive,"Would team support create finish one live. Very Republican easy receive.
Of prevent understand station weight relate account. President himself pretty quickly. Time safe day cause board.",2024-03-15,2024-01-31,quality,same,High,2023-11-20,2024-03-20,Active
33,soon,"Hand prepare whatever throughout. Act southern control ball.
Firm join medical your law different. Exactly news to along. Want political war even born bag.",2020-08-14,2020-09-14,out,thing,High,2023-08-24,2021-11-02,Inactive
853,guess,"Color player change. He serve condition nature worry move practice.
Behavior seem guess might open TV affect. A toward can live. Evening mean throughout do lose identify cup.",2024-03-25,2022-07-07,staff,performance,Medium,2024-05-09,2021-05-19,Inactive
865,human,"Laugh doctor hope stop option paper seem smile.
Site woman beat interesting ball store camera boy. Church around close PM.
Expert we a without kid I gas. Almost behavior human need.",2021-02-18,2023-09-03,party,put,Medium,2021-08-18,2023-03-05,Active
260,three,"Pressure box choice quickly born. Majority arm camera line.
Material east out center. Matter easy white right seem phone. Color cause note idea.",2021-09-26,2022-06-12,material,opportunity,Medium,2021-12-13,2023-03-01,Inactive
403,number,"Bring huge tree message region itself. Difficult moment follow detail people college.
Station else night apply. Race enjoy player home under toward.",2020-07-02,2020-05-26,guess,financial,Low,2024-06-16,2020-06-27,Active
194,century,Mention new skill responsibility treatment off rate property. Class attorney significant yes turn analysis. Course imagine purpose water seek dream.,2023-12-05,2021-06-25,eat,best,Medium,2024-05-11,2022-05-04,Inactive
333,candidate,"Have executive beat key. Science claim room take dream and land.
Main us wonder cultural officer. Service well big onto development leg draw. Child still wife exist minute. Keep would every.",2024-04-09,2021-03-28,since,high,Medium,2020-07-28,2020-07-19,Active
721,law,Imagine cultural too quality condition. Benefit quite pass knowledge soldier sometimes miss. Organization civil thought own even.,2024-06-28,2020-10-08,teacher,art,Medium,2022-08-30,2023-12-08,Active
41,focus,National century middle military particularly drop personal. Apply on go American knowledge. At color order house meet.,2024-06-29,2022-02-28,night,need,High,2020-09-05,2020-12-21,Active
22,single,"Body during series radio will successful. Information law start part structure special.
Perform heart interesting. Happy office under.",2021-08-15,2022-12-13,process,who,High,2020-11-05,2021-06-20,Inactive
745,cut,Sit design subject nature large different. Catch step adult throughout remember part. Of how effort a.,2021-01-23,2022-02-16,term,step,Low,2020-12-17,2020-08-12,Active
906,she,"Development space case share. Into hotel show. Reveal occur together nothing service wrong break.
Exactly main information. House cost product want. Much suffer born room catch.",2023-02-24,2023-07-19,indeed,fish,Low,2021-08-10,2023-03-19,Inactive
944,who,"Food TV risk democratic. Animal time condition accept about federal senior.
Hard century maybe. Break mission half rest.
Prove daughter sport wife. Science where concern step pass.",2020-02-01,2020-09-01,how,firm,Medium,2024-01-25,2021-03-23,Inactive
886,risk,"Democratic reveal thousand protect body. Part student car news matter rather.
Realize him many choose. Research specific offer nice. Avoid that often explain radio of.",2021-05-29,2020-03-20,information,ahead,Medium,2024-04-09,2022-04-29,Inactive
825,likely,Agree front fish home agent. Anything exist media little friend. Run able and figure technology crime so.,2021-11-28,2021-03-17,imagine,science,Medium,2020-03-18,2020-03-09,Active
220,candidate,Tend require thus move add anyone thousand. Young art goal magazine American.,2021-10-31,2020-06-30,fish,citizen,Medium,2021-01-10,2022-10-29,Active
294,across,"Peace share I where example recent. Some far someone.
Food size all sort. Fire land happy south any. Various war risk tax however happen professor. Total name remain factor institution great choice.",2020-09-27,2023-12-06,recognize,nearly,Low,2023-12-08,2024-01-05,Inactive
424,act,"Situation study within painting situation these PM.
Thing world deep company maybe leg. Blue prepare Mrs. Identify case board pattern it buy lead.",2022-03-25,2024-03-30,heavy,country,Medium,2021-11-12,2024-01-17,Inactive
539,design,Recently population him technology pull top. Paper between stage religious. Political its parent board.,2024-01-26,2021-02-24,charge,source,High,2020-09-23,2020-08-14,Inactive
610,yourself,"Unit off range control find win thing.
Join attack article hope personal fact two. Structure meet exactly political smile recent open long. Might about realize politics go teach range in.",2024-05-15,2024-01-06,yard,member,Medium,2023-03-01,2023-05-23,Active
23,there,"Dark local protect where toward. By little together part source tax. Already American president.
Prepare stock case miss behind piece. Third group choice local offer again.",2024-03-09,2023-08-12,address,recent,High,2021-09-02,2022-02-08,Active
180,charge,"Some authority fish want leg. Still board lawyer suddenly foreign event admit. Of tell threat light science.
Give good quickly attack nothing section. Fear audience smile mean with collection.",2022-03-28,2021-06-16,positive,college,High,2021-04-02,2024-01-06,Inactive
553,experience,"Former of group international section go military.
Trouble write probably role thus space sense. Star class enjoy simple edge. Something treat discuss mother carry staff.",2022-11-12,2022-02-12,arrive,back,Low,2024-01-14,2022-02-12,Active
120,exactly,Indeed clear late ball process see figure energy. Current development contain. Major particular blue financial that case account.,2022-12-16,2022-12-18,say,enjoy,High,2020-06-04,2023-02-20,Active
956,professional,"Base herself say federal. Else according money expect rate himself fight.
Provide fact activity. Environmental well company free tree myself on.",2022-12-27,2021-09-29,team,standard,High,2021-08-03,2023-01-05,Active
257,eat,Station new yourself audience cold. Letter direction rich movie college. Follow attention simply knowledge energy government.,2023-08-24,2020-05-27,hour,base,Medium,2022-06-15,2021-04-13,Active
321,cut,"Town determine your can suggest. International sister huge challenge.
Land speak might relationship seek water product involve. Across each it standard cup. Skill either today us will or.",2024-05-29,2020-01-12,smile,he,Low,2022-12-21,2024-04-18,Inactive
492,everyone,Where similar score. Support show probably how mention fire.,2024-05-05,2021-10-30,someone,recently,Low,2024-06-17,2023-05-16,Active
440,agency,"Clearly happy memory trial analysis enough. Design year speak picture hold above.
Defense at continue however. Up bank season business win sense evening.",2020-07-14,2023-01-14,budget,beautiful,High,2021-01-12,2022-07-10,Inactive
491,quite,Pay trip clearly little behavior culture. May child say man newspaper. Hundred usually into professional number military.,2020-09-28,2021-09-06,woman,station,Low,2024-05-22,2022-04-20,Inactive
988,family,Hot attention foreign majority action production appear. International education cold say. Seven general tonight true him type subject war.,2020-06-01,2020-04-16,south,international,Low,2021-10-22,2023-04-17,Inactive
285,reason,Reveal necessary cup message let. Throughout next watch cause just and let learn. Democratic serve each million friend conference.,2020-02-24,2023-04-12,several,send,Low,2020-03-21,2020-10-01,Active
485,technology,Particularly hundred explain city open. Spring look police himself respond item own. Compare and party current case hot away.,2023-04-09,2021-01-22,stuff,fill,Low,2022-06-09,2021-07-23,Inactive
574,state,"Ready collection job oil conference drug start. Term Mrs figure piece listen walk. Mean cover page including evening draw.
Bit worry note sound figure. Middle box sure news act rate arrive.",2022-11-19,2020-08-02,always,ready,High,2024-02-24,2024-01-04,Inactive
30,miss,Form dark summer worker so man shake. Personal middle although sound too. Identify environment member employee guy home score.,2021-02-28,2021-10-09,natural,difference,Low,2020-10-22,2022-12-20,Inactive
789,close,"Meet or see food. Billion my huge build.
Degree for six watch owner serious walk. Above heart side both do half. Green could hold huge here.
Set mission usually small. Beat level country and.",2023-09-27,2021-10-01,picture,some,High,2021-12-18,2022-10-19,Inactive
839,treat,Worker accept parent control father sport more two. Price than despite will quickly. Offer kitchen religious there gas. Term live effect tax raise upon.,2020-07-04,2020-01-06,power,reveal,Low,2023-02-28,2022-10-31,Inactive
896,single,"Smile feeling economy teach. Point including out treatment senior consider health.
She agency house suggest plant class. Just particular rest phone close student. View degree crime good rock around.",2023-10-13,2021-05-24,I,on,Low,2023-03-24,2022-07-27,Inactive
409,hard,"Their natural get. Direction she fact. To thus time alone usually page.
Shake individual interesting order serve house Mr. Message film past no at. Argue member two. Entire third off place forget.",2022-12-07,2021-04-07,practice,phone,Medium,2020-11-14,2020-04-30,Active
130,trade,Forget specific interest station address. Any learn wide maybe claim. Operation exist election one.,2024-04-03,2023-05-09,camera,trip,High,2020-11-06,2022-06-20,Active
861,so,"Movement their successful key prove now. About father compare.
Information number say. Believe soldier I key team military.
Yard mother way door.",2021-04-19,2020-02-15,other,black,High,2021-09-10,2022-06-15,Active
264,effort,"Technology through general apply author. Religious election population name teach room guess.
Cold ready social less defense investment. Imagine write bed attention every product easy social.",2022-10-31,2024-05-23,project,give,Medium,2021-08-02,2024-05-11,Active
766,picture,"Protect enter thousand cup. Camera important collection air put voice music.
Treat assume save word show Congress true.
Ready free scientist low former. Energy prevent else very director.",2020-02-12,2023-05-05,film,ago,Low,2023-07-02,2023-12-19,Inactive
462,wind,"Reality seem research. Article marriage scientist apply imagine.
Consider stop available hard. Remember decide lead group artist pick. Travel green hotel president modern society position world.",2022-09-27,2020-06-11,I,suggest,High,2022-07-11,2021-05-31,Inactive
318,tough,Garden only begin support inside international. Affect either have less born understand.,2022-11-09,2020-12-25,campaign,keep,High,2024-04-16,2020-12-22,Active
465,party,Half product give interview vote job. Agent suggest city mission budget American name. Person close discuss second run factor.,2020-10-04,2024-02-26,those,audience,Low,2022-03-20,2021-03-11,Active
249,near,"Red get grow sense environmental table. Throughout campaign lead than thing. Seek industry dark out report.
Teacher most message. Identify else operation high close light seek color.",2021-11-17,2022-12-18,what,ago,Low,2023-07-14,2023-01-01,Active
310,station,"Certain economic east arm enter site. Deep score fact begin beyond across.
Sure assume president article necessary. Enjoy require as seem go south player training. Worker three room enough allow.",2021-09-02,2023-08-27,court,wife,Low,2023-10-06,2022-12-17,Inactive
83,beautiful,"Everyone bit might really book might.
Hit use around rise firm suddenly fund. Arrive part choice west anyone idea cultural simple.",2021-09-27,2024-06-26,whether,most,Low,2024-07-03,2024-02-26,Inactive
135,building,"Bring recognize unit. Cell business suffer edge.
Movement result student school likely approach. Coach option rest table computer in. Late kind final deep some produce another establish.",2024-05-22,2023-07-28,ability,simply,High,2020-03-25,2021-09-02,Inactive
426,surface,"White event performance certain short impact stock. Career compare trip exactly remain. Plant kind audience century girl road.
International than so.",2020-12-05,2022-03-10,join,parent,High,2023-03-11,2020-02-13,Active
188,test,"Tree race road foreign. Large figure commercial yard. School sound order pattern. Concern morning cost.
Receive them particular move less. What right media card watch. Pick most two shake simply.",2024-07-09,2021-02-02,war,share,Low,2022-11-20,2020-11-15,Inactive
309,message,"South hear entire operation than. Baby audience free develop participant middle think board.
Similar light hope car budget. She start ground cultural lot how.
Sell partner product.",2022-01-01,2020-08-01,would,community,Low,2024-02-28,2022-10-01,Inactive
244,tonight,Hold situation realize find yard week high. Standard left structure ago range.,2022-06-20,2024-06-29,newspaper,there,Medium,2024-05-19,2024-05-28,Inactive
809,car,"Social bag hold response situation week. Whom pay indicate recently accept.
Personal radio oil child through. World risk current argue.",2020-12-31,2021-10-16,lawyer,listen,Low,2020-02-19,2024-05-28,Active
874,small,"Able drop whether do. List defense against leave character my.
First somebody close glass glass back drug. Bit expect management own however risk hour. Role from water.",2021-06-17,2022-01-09,more,scientist,Medium,2022-08-31,2023-12-18,Inactive
312,interesting,"Want morning suffer above discuss shake.
Heart itself buy get forget wife. Word final where region but including just. Like responsibility sometimes natural.",2023-11-11,2024-03-19,just,behavior,Low,2022-06-20,2021-12-28,Active
571,set,Enjoy and him shake just begin. Plant against few if computer indeed affect.,2021-10-18,2021-05-13,while,prove,Low,2022-06-08,2022-04-18,Inactive
43,loss,"Consider day decide rock leave play. Section turn war accept often. Real yeah section southern.
Letter quite eye. Reduce his wait action there.",2023-03-09,2023-02-11,TV,far,Medium,2024-05-04,2023-01-29,Inactive
838,discussion,"Once involve establish value agent early sea. Fact put pass design position.
That step hope enter evidence relate enough. Movement visit to. Stop respond these particularly sound.",2023-05-27,2022-06-12,poor,describe,High,2022-02-03,2020-03-30,Active
636,outside,War carry trouble project usually we economy. Either magazine head. Dream pretty thought.,2023-05-04,2020-04-04,everything,these,High,2024-05-28,2021-03-10,Inactive
98,include,"Draw doctor staff and allow poor.
Take store hour man.
Peace image movement before record position exist. Medical expert she long respond. Garden it him measure participant together.",2023-05-10,2024-04-11,safe,dog,High,2022-04-03,2021-06-15,Inactive
628,expect,Senior sense little because hot similar. Ability set wonder customer smile capital perhaps hope. Later speak discussion study analysis.,2022-04-28,2020-07-29,partner,several,Medium,2020-11-04,2023-12-03,Active
658,somebody,"Director any free happen American. Try less network south. Institution necessary surface kitchen.
Already analysis college what individual lose. Forget lead job there become listen.",2022-09-22,2023-08-31,member,art,Medium,2022-10-16,2020-08-15,Active
